event,unique_hit_ids,signal_tracks,total_active_hits,background_tracks
1,23825,4512,58339,19313
2,76157,15480,197229,60677
3,50268,9453,123553,40815
4,53480,8837,123201,44643
5,16756,2732,38673,14024
6,69677,13558,177736,56119
7,110610,20337,275011,90273
8,47997,7942,112829,40055
9,96715,16294,231523,80421
10,121915,22605,302379,99310
11,98064,15780,226787,82284
12,138576,28269,365719,110307
13,164520,34223,434336,130297
14,63119,10947,151627,52172
15,110227,23390,293687,86837
16,127101,23220,309330,103881
17,103132,21137,272096,81995
18,110513,19469,266439,91044
19,90292,16616,221369,73676
20,96974,20262,254686,76712
21,157259,31693,408081,125566
22,151087,30218,391966,120869
23,42997,8795,110458,34202
24,130935,25888,333604,105047
25,177369,37385,469913,139984
26,57072,9786,135694,47286
27,91838,13933,205632,77905
28,7485,1491,18854,5994
29,126530,24042,317532,102488
30,107799,19276,261927,88523
31,157947,32007,410655,125940
32,138408,25406,336795,113002
33,116597,19470,274385,97127
34,39302,6580,92076,32722
35,111259,21841,283034,89418
36,102049,15096,229872,86953
37,22106,3862,54085,18244
38,58441,10299,141066,48142
39,123154,22983,303926,100171
40,150172,29607,380932,120565
41,115375,23387,301008,91988
42,82172,13896,195099,68276
43,111148,17883,256682,93265
44,150654,35487,521840,115167
45,143101,28607,364506,114494
46,101077,18753,252308,82324
47,53664,8967,128997,44697
48,156415,27534,377594,128881
49,84158,14496,203036,69662
50,118949,24913,313807,94036
51,105585,21237,272150,84348
52,150278,31824,397546,118454
53,133081,26267,340513,106814
54,118023,21845,290773,96178
55,170140,32135,428909,138005
56,137658,27469,360351,110189
57,131012,24811,328779,106201
58,98688,18983,245890,79705
59,143785,27645,365629,116140
60,96097,18812,239165,77285
61,46507,7939,111023,38568
62,60713,9639,137677,51074
63,135952,26847,352504,109105
64,97913,17407,241778,80506
65,79790,15777,203805,64013
66,139349,28056,360033,111293
67,20736,2938,47688,17798
68,45215,6735,102094,38480
69,41248,5914,90768,35334
70,126314,24688,319703,101626
71,27804,5078,68492,22726
72,21864,4055,54051,17809
73,147179,27789,370425,119390
74,161512,34412,431640,127100
75,110345,18681,256758,91664
76,128644,29329,349560,99315
77,135226,23641,322814,111585
78,171408,35693,449737,135715
79,165783,31658,414521,134125
80,48837,8899,118453,39938
81,111219,19301,267481,91918
82,112509,24269,301533,88240
83,42736,7339,100590,35397
84,106778,17425,247345,89353
85,120492,23477,313610,97015
86,125038,23647,314249,101391
87,47604,9898,124252,37706
88,140841,30989,383771,109852
89,131167,29428,358829,101739
90,116713,19263,277318,97450
91,153574,31833,403628,121741
92,44306,7790,108432,36516
93,143072,29576,377179,113496
94,36485,5940,84280,30545
95,111587,24055,296260,87532
96,139691,26224,345777,113467
97,45367,9260,122671,36107
98,165954,33548,430011,132406
99,50150,10583,135972,39567
100,113056,22422,291171,90634
