event,total_hits,unique_tracks,min_layer,max_layer,avg_hits_per_track
1.0,58339,23825,3.0,56.0,2.4486463798530953
2.0,197229,76157,3.0,56.0,2.5897685045366807
3.0,123553,50268,3.0,56.0,2.45788573247394
4.0,123201,53480,3.0,56.0,2.3036836200448767
5.0,38673,16756,3.0,54.0,2.308009071377417
6.0,177736,69677,3.0,56.0,2.5508560931153754
7.0,275011,110610,3.0,56.0,2.486312268330169
8.0,112829,47997,3.0,56.0,2.3507510886097047
9.0,231523,96715,3.0,56.0,2.3938685829499042
10.0,302379,121915,3.0,56.0,2.480244432596481
11.0,226787,98064,3.0,56.0,2.3126427639092837
12.0,365719,138576,3.0,56.0,2.639122214524882
13.0,434336,164520,3.0,56.0,2.640019450522733
14.0,151627,63119,3.0,56.0,2.40224021293113
15.0,293687,110227,3.0,56.0,2.6643834995055657
16.0,309330,127101,3.0,56.0,2.4337338022517527
17.0,272096,103132,3.0,56.0,2.6383275801884962
18.0,266439,110513,3.0,56.0,2.4109290309737315
19.0,221369,90292,3.0,56.0,2.451701147388473
20.0,254686,96974,3.0,56.0,2.626332831480603
21.0,408081,157259,3.0,56.0,2.5949611786924756
22.0,391966,151087,3.0,56.0,2.5943065915664483
23.0,110458,42997,3.0,56.0,2.568969928134521
24.0,333604,130935,3.0,56.0,2.547859625004773
25.0,469913,177369,3.0,56.0,2.6493524798583743
26.0,135694,57072,3.0,56.0,2.3775932155873285
27.0,205632,91838,3.0,56.0,2.2390731505477035
28.0,18854,7485,3.0,56.0,2.5189044756179024
29.0,317532,126530,3.0,56.0,2.509539239705999
30.0,261927,107799,3.0,56.0,2.4297720758077532
31.0,410655,157947,3.0,56.0,2.5999544150886056
32.0,336795,138408,3.0,56.0,2.4333492283683023
33.0,274385,116597,3.0,56.0,2.3532766709263533
34.0,92076,39302,3.0,56.0,2.342781537835225
35.0,283034,111259,3.0,56.0,2.5439200424235344
36.0,229872,102049,3.0,56.0,2.2525649442914677
37.0,54085,22106,3.0,56.0,2.446620826924817
38.0,141066,58441,3.0,56.0,2.4138190653821803
39.0,303926,123154,3.0,56.0,2.4678532568978677
40.0,380932,150172,3.0,56.0,2.536637988439922
41.0,301008,115375,3.0,56.0,2.6089534127843987
42.0,195099,82172,3.0,56.0,2.3742759090687824
43.0,256682,111148,3.0,56.0,2.309371288732141
44.0,521840,150654,3.0,56.0,3.4638310300423485
45.0,364506,143101,3.0,56.0,2.5471939399445147
46.0,252308,101077,3.0,56.0,2.49619596940946
47.0,128997,53664,3.0,56.0,2.4037902504472273
48.0,377594,156415,3.0,56.0,2.4140523607070934
49.0,203036,84158,3.0,56.0,2.412557332636232
50.0,313807,118949,3.0,56.0,2.6381642552690647
51.0,272150,105585,3.0,56.0,2.5775441587346686
52.0,397546,150278,3.0,56.0,2.6454038515285005
53.0,340513,133081,3.0,56.0,2.5586898204852684
54.0,290773,118023,3.0,56.0,2.4636977538276437
55.0,428909,170140,3.0,56.0,2.520918067473845
56.0,360351,137658,3.0,56.0,2.617726539685307
57.0,328779,131012,3.0,56.0,2.509533477849357
58.0,245890,98688,3.0,56.0,2.491589656290532
59.0,365629,143785,3.0,56.0,2.5428869492645267
60.0,239165,96097,3.0,56.0,2.4887873710937907
61.0,111023,46507,3.0,56.0,2.387232029586944
62.0,137677,60713,3.0,56.0,2.2676691977006573
63.0,352504,135952,3.0,56.0,2.5928563022243143
64.0,241778,97913,3.0,56.0,2.469314595610389
65.0,203805,79790,3.0,56.0,2.5542674520616617
66.0,360033,139349,3.0,56.0,2.58367839022885
67.0,47688,20736,3.0,56.0,2.2997685185185186
68.0,102094,45215,3.0,56.0,2.257967488665266
69.0,90768,41248,3.0,56.0,2.200543056633049
70.0,319703,126314,3.0,56.0,2.5310179394208085
71.0,68492,27804,3.0,56.0,2.4633865630844483
72.0,54051,21864,3.0,56.0,2.472145993413831
73.0,370425,147179,3.0,54.0,2.5168332438731067
74.0,431640,161512,3.0,56.0,2.6724949229778594
75.0,256758,110345,3.0,56.0,2.3268657392722822
76.0,349560,128644,3.0,56.0,2.7172662541587638
77.0,322814,135226,3.0,56.0,2.38721843432476
78.0,449737,171408,3.0,56.0,2.6237806870157754
79.0,414521,165783,3.0,56.0,2.500383030829458
80.0,118453,48837,3.0,56.0,2.425476585375842
81.0,267481,111219,3.0,56.0,2.404993751067713
82.0,301533,112509,3.0,56.0,2.6800789270191716
83.0,100590,42736,3.0,56.0,2.353753275926619
84.0,247345,106778,3.0,56.0,2.3164415890913856
85.0,313610,120492,3.0,56.0,2.6027454104836836
86.0,314249,125038,3.0,56.0,2.5132279786944767
87.0,124252,47604,3.0,56.0,2.610116796907823
88.0,383771,140841,3.0,56.0,2.7248528482473144
89.0,358829,131167,3.0,56.0,2.7356652206728826
90.0,277318,116713,3.0,56.0,2.3760677902204552
91.0,403628,153574,3.0,56.0,2.628231341242658
92.0,108432,44306,3.0,56.0,2.4473434749243896
93.0,377179,143072,3.0,56.0,2.6362880228136882
94.0,84280,36485,3.0,56.0,2.309990407016582
95.0,296260,111587,3.0,56.0,2.6549687687633865
96.0,345777,139691,3.0,56.0,2.4752990529096364
97.0,122671,45367,3.0,56.0,2.703969845923248
98.0,430011,165954,3.0,56.0,2.5911457391807367
99.0,135972,50150,3.0,56.0,2.711306081754736
100.0,291171,113056,3.0,56.0,2.575458180016983
