event,total_active_hits,raw_islands,valid_classical_tracks
1.0,58339,23825,26
2.0,197229,76157,72
3.0,123553,50268,65
4.0,123201,53480,47
5.0,38673,16756,14
6.0,177736,69677,65
7.0,275011,110610,38
8.0,112829,47997,20
9.0,231523,96715,32
10.0,302379,121915,66
11.0,226787,98064,57
12.0,365719,138576,61
13.0,434336,164520,107
14.0,151627,63119,50
15.0,293687,110227,61
16.0,309330,127101,88
17.0,272096,103132,63
18.0,266439,110513,73
19.0,221369,90292,79
20.0,254686,96974,65
21.0,408081,157259,84
22.0,391966,151087,62
23.0,110458,42997,44
24.0,333604,130935,56
25.0,469913,177369,75
26.0,135694,57072,27
27.0,205632,91838,44
28.0,18854,7485,10
29.0,317532,126530,92
30.0,261927,107799,45
31.0,410655,157947,91
32.0,336795,138408,74
33.0,274385,116597,50
34.0,92076,39302,39
35.0,283034,111259,58
36.0,229872,102049,62
37.0,54085,22106,21
38.0,141066,58441,56
39.0,303926,123154,67
40.0,380932,150172,45
41.0,301008,115375,108
42.0,195099,82172,88
43.0,256682,111148,72
44.0,521840,150654,0
45.0,364506,143101,106
46.0,252308,101077,76
47.0,128997,53664,45
48.0,377594,156415,91
49.0,203036,84158,61
50.0,313807,118949,124
51.0,272150,105585,108
52.0,397546,150278,60
53.0,340513,133081,79
54.0,290773,118023,79
55.0,428909,170140,88
56.0,360351,137658,65
57.0,328779,131012,67
58.0,245890,98688,38
59.0,365629,143785,85
60.0,239165,96097,85
61.0,111023,46507,59
62.0,137677,60713,45
63.0,352504,135952,72
64.0,241778,97913,57
65.0,203805,79790,73
66.0,360033,139349,46
67.0,47688,20736,22
68.0,102094,45215,33
69.0,90768,41248,37
70.0,319703,126314,66
71.0,68492,27804,33
72.0,54051,21864,25
73.0,370425,147179,83
74.0,431640,161512,90
75.0,256758,110345,74
76.0,349560,128644,62
77.0,322814,135226,73
78.0,449737,171408,78
79.0,414521,165783,79
80.0,118453,48837,32
81.0,267481,111219,47
82.0,301533,112509,79
83.0,100590,42736,45
84.0,247345,106778,46
85.0,313610,120492,67
86.0,314249,125038,51
87.0,124252,47604,63
88.0,383771,140841,57
89.0,358829,131167,31
90.0,277318,116713,63
91.0,403628,153574,80
92.0,108432,44306,48
93.0,377179,143072,72
94.0,84280,36485,34
95.0,296260,111587,114
96.0,345777,139691,47
97.0,122671,45367,52
98.0,430011,165954,71
99.0,135972,50150,56
100.0,291171,113056,100
